#,Source,book/wikipedia,Passage,Question,Answer,Passagem,Questão,Resposta
311,Guanabara_Bay.txt,wikipedia,There are more than 130 islands dotting the bay including:,how many islands there are on Guanabara Bay?,more than 130 islands,"Há mais de 130 ilhas que pontilham a baía, incluindo:",Quantas ilhas existem na Baía de Guanabara?,Mais de 130 ilhas
312,Campos_Basin.txt,wikipedia,Five tectonic stages have been identified in the Brazilian basins:,How many tectonic stages have been identified in the brazilian basins?,five,Cinco etapas tectônicas foram identificadas nas bacias brasileiras:,Quantos estágios tectônicos foram identificados nas bacias brasileiras?,cinco
313,Rio_Grande_Rise.txt,wikipedia,The Rio Grande Rise also called the Rio Grande Elevation or Bromley Plateau is an aseismic ocean ridge in the southern Atlantic Ocean off the coast of Brazil. Together with the Walvis Ridge off Africa the Rio Grande Rise forms a V-shaped structure of mirrored hotspot tracks or seamount chains across the northern South Atlantic.,What is Bromley Plateau?,an aseismic ocean ridge in the southern Atlantic Ocean off the coast of Brazil,"O Rio Grande Ascensão também chamado de elevação do Rio Grande ou Bromley Plateau é um cume oceano assisco no sul do Oceano Atlântico na costa do Brasil. Juntamente com o Walvis Ridge off, a África, o Rio Grande Ascensão forma uma estrutura em forma de V de faixas de hotspot espelhadas ou cadeias de seamount em todo o norte do Atlântico Sul.",O que é o platô Bromley?,um cume oceano aseísmico no sul do Oceano Atlântico fora da costa do Brasil
314,Ilha_dos_Frades.txt,wikipedia,Costa de Fora population 150. It has an inn an old church obscured by vegetation and some hidden waterfalls in the remaining Atlantic Forest. It also has the only cemetery on the island.,What is the population of Costa de Fora?,150,Costa de Fora População 150. Tem uma pousada uma igreja antiga obscurecida pela vegetação e algumas cachoeiras ocultas na floresta atlântica restante. Também tem o único cemitério da ilha.,Qual é a população da Costa de Fora?,150.
315,Ilha_dos_Frades.txt,wikipedia,Costa de Fora population 150. It has an inn an old church obscured by vegetation and some hidden waterfalls in the remaining Atlantic Forest. It also has the only cemetery on the island.,Where is the only cementery of Ilha dos Frades?,Costa de Fora,Costa de Fora População 150. Tem uma pousada uma igreja antiga obscurecida pela vegetação e algumas cachoeiras ocultas na floresta atlântica restante. Também tem o único cemitério da ilha.,Onde é a única cementária de Ilha dos Frades?,Costa de Fora
316,Trindade_and_Martin_Vaz.txt,wikipedia,In 1889 Edward Frederick Knight went treasure hunting on the island. He was unsuccessful but he wrote a detailed description of the island and his expedition titled The Cruise of the Alerte.,When did Edward Frederick Knight went treasure hunting on Trindade and Martim Vaz?,1889,"Em 1889 Edward Frederick Knight foi a caça do tesouro na ilha. Ele não foi bem sucedido, mas ele escreveu uma descrição detalhada da ilha e sua expedição intitulou o cruzeiro do Alerte.",Quando Edward Frederick Knight foi a caça do tesouro em Trindade e Martim Vaz?,1889.
317,Trindade_and_Martin_Vaz.txt,wikipedia,In 1889 Edward Frederick Knight went treasure hunting on the island. He was unsuccessful but he wrote a detailed description of the island and his expedition titled The Cruise of the Alerte.,What is the name of description of the expedition of Edward Frederick Knight?,The Cruise of thee Alerte,"Em 1889 Edward Frederick Knight foi a caça do tesouro na ilha. Ele não foi bem sucedido, mas ele escreveu uma descrição detalhada da ilha e sua expedição intitulou o cruzeiro do Alerte.",Qual é o nome da descrição da expedição de Edward Frederick Knight?,O cruzeiro de ti Alerte
318,Pre_salt_layer.txt,wikipedia,The oil reserves found in the pre-salt layer of the Brazilian coast are within the maritime area considered exclusive economic zone of Brazil. They are reserves with oil considered of medium to high quality according to the API scale. The set of pre-salt oil fields extends along the coast from the state of Espírito Santo in the north as far as Santa Catarina in the south where the ocean depths range from 1000 to 2000 meters and is found between 4000 and 6000 meters deep in the subsoil thus reaching up to 8000 meters below sea level including a salt layer ranging from 200 to 2000 meters thick.,What is thee quality of the oil found in the pre-salt layer of the Brazilian coast?,medium to high quality,"As reservas de petróleo encontradas na camada pré-sal da costa brasileira estão dentro da área marítima considerada zona econômica exclusiva do Brasil. Eles são reservas com óleo considerado de média a alta qualidade de acordo com a escala da API. O conjunto de campos de petróleo pré-sal se estende ao longo da costa do estado do Espírito Santo no norte até o Santa Catarina, no sul, onde as profundezas oceânicas variam de 1000 a 2000 metros e é encontrada entre 4000 e 6000 metros de profundidade Assim, atingindo até 8000 metros abaixo do nível do mar, incluindo uma camada de sal variando de 200 a 2000 metros de espessura.",Qual é a qualidade do óleo encontrado na camada pré-sal da costa brasileira?,média a alta qualidade
319,coastal_fisheries_of_brazil_6.txt,book,The Marine Extractive Reserve (MER) described earlier is a relatively recent category of protected areas that reflects a new approach. Through MERs marine areas are assigned to the exclusive use of a certain number of small-scale fishers. A management plan is agreed upon by a grassroots institution that assembles the fishers in the area of the reserve. Some six MERs have been officially established by the National Council of Traditional Populations (CNPT-IBAMA) and several others are in the process of being created particularly in the north and northeast regions (Figure 5).,What is The Marine Extractive Reserve?,a relatively recent category of protected areas that reflects a new approach,A reserva extractiva marinha (MER) descrita anteriormente é uma categoria relativamente recente de áreas protegidas que reflete uma nova abordagem. Através de mers áreas marinhas são atribuídas ao uso exclusivo de um certo número de pescadores de pequena escala. Um plano de gestão é acordado por uma instituição de base que monta os pescadores na área da reserva. Cerca de seis mers foram oficialmente estabelecidos pelo Conselho Nacional de Populações Tradicionais (CNPT-IBAMA) e vários outros estão em processo de serem criados particularmente nas regiões Norte e Nordeste (Figura 5).,Qual é a reserva extrativa marítima?,uma categoria relativamente recente de áreas protegidas que refletem uma nova abordagem
320,Coastline_of_Brazil.txt,wikipedia,"A considerable number of geographical features can be found all through the coastal areas like islands reefs and bays. The beaches of Brazil (2095 in total) are famous in the world and receive a great number of tourists.A famous expression in Brazil is ""from Oiapoque to Chuí"" which means from the extreme south to the extreme north of the country. However the actual northernmost point in Brazil is the Monte Caburaí in the far from the coast state of Roraima whereas the southernmost point is in Santa Vitória do Palmar the city from which Chuí emancipated.",What was the city Chuí emancipated?,Santa Vitória do Palmar,"Um número considerável de características geográficas pode ser encontrado por todas as áreas costeiras, como recifes e baías de ilhas. As praias do Brasil (2095 no total) são famosas no mundo e recebem um grande número de turistas. Uma famosa expressão no Brasil é ""de Oiapoque a Chuí"", o que significa do extremo sul até o extremo norte do país. No entanto, o ponto mais ao norte do Brasil é o Monte Caburaí no distante do estado da costa de Roraima, enquanto o ponto mais meridional está em Santa Vitória do Palmar, da qual Chuí emancipou.",Qual foi a cidade Chuí emancipated?,Papai Noel Vitória do Palmar
321,Santos_Basin.txt,wikipedia,Piçarras FormationThe Piçarras Formation is 990 metres (3250 ft) thick and consists of clastic and carbonate rocks. The formation includes reddish polymictic conglomerates with clasts of basalt and quartz in a clay-sandy matrix. It also includes white reddish lacustrine coquinas (shelly limestones) and sandstones siltstones and shales of stevensite composition. Its age based on the ostracod assemblages is Hauterivian to Aptian.The conglomerates and sandstones of the formation are representative of an alluvial environment. The coquinas represent a shallow lacustrine environment. Similar to the Atafona Formation of the Campos Basin the sandstones stevensite-bearing siltstones and shales represent an alkaline lacustrine environment affected by volcanic activity. The shales represent deeper lacustrine waters in more distal areas. The alternation of the two facies implies a series of alluvial progradation-retractions into the Cretaceous carbonate lakes. The low textural and compositional maturity of conglomerates and sandstones implies the basin was supplied from areas close to the basin margins.,How thick is the Piçarras Formation?,990 metres,"Piçarras Formação A formação de Piçarras é de 990 metros (3250 pés) de espessura e consiste em rochas clásticas e carbonato. A formação inclui conglomerados poliméticos avermelhados com clastos de basalto e quartzo em uma matriz arenosa de argila. Também inclui coquinas lacustres brancas avermelhadas (calcários Shelly) e Sandstones Siltstones e Xalés da Composição Stevensite. Sua idade baseada nas assembléias Ostracod é Hauterivian para Aptian. Os conglomerados e arenitos da formação são representativos de um ambiente aluvial. As coquinas representam um ambiente lacustre raso. Semelhante à formação da Atafona da Bacia dos Campos, os Sandstones Stevensite - Siltstones e Shales representam um ambiente lacustre alcalino afetado pela atividade vulcânica. Os shales representam águas lacustres mais profundas em áreas mais distais. A alternância das duas facies implica uma série de retrações de progracionamento aluviais para os lagos de carbonato cretáceos. A baixa maturidade textural e composicional de conglomerados e arenitos implica que a bacia foi fornecida de áreas próximas às margens da bacia.",Quão espessa é a formação de piçarras?,990 metros
322,Santos_Basin.txt,wikipedia,Piçarras FormationThe Piçarras Formation is 990 metres (3250 ft) thick and consists of clastic and carbonate rocks. The formation includes reddish polymictic conglomerates with clasts of basalt and quartz in a clay-sandy matrix. It also includes white reddish lacustrine coquinas (shelly limestones) and sandstones siltstones and shales of stevensite composition. Its age based on the ostracod assemblages is Hauterivian to Aptian.The conglomerates and sandstones of the formation are representative of an alluvial environment. The coquinas represent a shallow lacustrine environment. Similar to the Atafona Formation of the Campos Basin the sandstones stevensite-bearing siltstones and shales represent an alkaline lacustrine environment affected by volcanic activity. The shales represent deeper lacustrine waters in more distal areas. The alternation of the two facies implies a series of alluvial progradation-retractions into the Cretaceous carbonate lakes. The low textural and compositional maturity of conglomerates and sandstones implies the basin was supplied from areas close to the basin margins.,What dos the low textural and compositional maturity of conglomerates and sandstones implies?,the basin was supplied from areas close to the basin margins,"Piçarras Formação A formação de Piçarras é de 990 metros (3250 pés) de espessura e consiste em rochas clásticas e carbonato. A formação inclui conglomerados poliméticos avermelhados com clastos de basalto e quartzo em uma matriz arenosa de argila. Também inclui coquinas lacustres brancas avermelhadas (calcários Shelly) e Sandstones Siltstones e Xalés da Composição Stevensite. Sua idade baseada nas assembléias Ostracod é Hauterivian para Aptian. Os conglomerados e arenitos da formação são representativos de um ambiente aluvial. As coquinas representam um ambiente lacustre raso. Semelhante à formação da Atafona da Bacia dos Campos, os Sandstones Stevensite - Siltstones e Shales representam um ambiente lacustre alcalino afetado pela atividade vulcânica. Os shales representam águas lacustres mais profundas em áreas mais distais. A alternância das duas facies implica uma série de retrações de progracionamento aluviais para os lagos de carbonato cretáceos. A baixa maturidade textural e composicional de conglomerados e arenitos implica que a bacia foi fornecida de áreas próximas às margens da bacia.",O que a baixa maturidade textural e composicional de conglomerados e arenitos implica?,A bacia foi fornecida de áreas próximas às margens da bacia
323,Ilha_Grande_mangroves.txt,wikipedia,Ilha Grande and Paraty. Ilha Grande is relatively undeveloped and with Paraty has been designated a UNESCO World Heritage Site. They are near the cities of Sepetiba and Angra dos Reis built-up port cities situated on separate bays west of Rio de Janeiro.,Is Ilha Grande a UNESCO World Heritage Site?,yes,Ilha Grande e Paraty. A Ilha Grande é relativamente subdesenvolvida e com Paraty foi designada pelo Património Mundial da UNESCO. Estão perto das cidades de Sepetiba e Angra dos Reis Portuários portuários situados em baías separadas a oeste do Rio de Janeiro.,É o Patrimônio Mundial da Ilha Grande é um Patrimônio da UNESCO?,sim
324,Rocas_Atoll.txt,wikipedia,The oval atoll is 3.7 kilometres (2.3 mi) long and 2.5 kilometres (1.6 mi) wide. The lagoon is up to 6 metres (20 ft) deep and has an area of 7.1 square kilometres (2.7 sq mi). The land area of the two islets (Cemitério Island southwest and Farol Cay northwest) is 0.36 square kilometres (89 acres). Farol Cay accounts for almost two-thirds of the aggregate area. The highest point is a sand dune in the south of larger Farol Cay with a height of 6 metres (20 ft). Both islets are overgrown with grasses bushes and a few palm trees. The population consists of crabs spiders scorpions sand fleas beetles large roaches and many species of birds.,How long is the Rocas Atoll?,3.7 kilometres,"O Atol Oval é de 3,7 quilômetros (2,3 km) de comprimento e 2,5 quilômetros (1,6 mi) de largura. A lagoa é de até 6 metros (20 pés) profundamente e tem uma área de 7,1 quilômetros quadrados (2,7 mi). A área da terra das duas ilhotas (Ilha Cemitério Southwest e Farol Cay Northwest) é de 0,36 quilômetros quadrados (89 acres). Farol Cay representa quase dois terços da área agregada. O ponto mais alto é uma duna de areia no sul de maior Farol Cay com uma altura de 6 metros (20 pés). Ambas as ilhotas são cobertas com arbustos de gramíneas e algumas palmeiras. A população consiste em caranguejos aranhas de escorpiões areia pulseiras grandes baratas e muitas espécies de aves.",Quanto tempo dura o atol rocas?,"3,7 quilômetros"
325,Port_of_Rio_de_Janeiro.txt,wikipedia,The Port of Rio de Janeiro (Portuguese: Porto do Rio de Janeiro) is a seaport in the city of Rio de Janeiro Brazil located in a cove on the west shore of Guanabara Bay. It is the third-busiest port in Brazil and it is managed by Companhia Docas do Rio de Janeiro.,In what bay does the Port of Rio Janeiro is located?,Guanabara Bay,"O porto do Rio de Janeiro (Português: Porto do Rio de Janeiro) é um porto na cidade do Rio de Janeiro, localizado em uma enseada na costa oeste da Baía de Guanabara. É o porto terceiro mais movimentado no Brasil e é gerenciado pela Companhia Docas do Rio de Janeiro.",Em que baía o porto do Rio Janeiro está localizado?,Baía de Guanabara
326,Ilha_Comprida.txt,wikipedia,The island is covered by the Ilha Comprida Environmental Protection Area which defines zoning and allowable land use in an effort to reduce environmental damage from human occupation.,what is the function of the Ilha Comprida Environmental Protection Area?,reduce environmental damage from human occupation,"A ilha é coberta pela área de proteção ambiental da Ilha Compreda, que define o uso de terras de zoneamento e permissão em um esforço para reduzir os danos ambientais da ocupação humana.",Qual é a função da Área de Proteção Ambiental da Ilha Compreda?,reduzir os danos ambientais da ocupação humana
327,Coastline_of_Brazil.txt,wikipedia,The state of Rio de Janeiro's coastline is remarkable for the worldwide known beaches in the capital city like Ipanema and Copacabana. Also the state features the Campos Basin the largest petroleum rich area in Brazil measuring 100000 km² and producing 1.49 million barrels of oil every day. The basin extends to the coastline of Espírito Santo. 1200 km east of Vitória in Espírito Santo lie the islands of Trindade and Martim Vaz.,What is the area of Campos Basin?,100000 km²,"O estado do litoral do Rio de Janeiro é notável para as praias conhecidas mundiais da capital como Ipanema e Copacabana. Também o Estado apresenta a Bacia de Campos, a maior área rica em petróleo do Brasil, medindo 100.000 km² e produz 1,49 milhões de barris de petróleo todos os dias. A bacia se estende ao litoral do Espírito Santo. 1200 km a leste de Vitória, em Espírito Santo, as ilhas de Trindade e Martim Vaz.",Qual é a área da Bacia de Campos?,100.000 km².
328,Bay_of_All_Saints.txt,wikipedia,The Italian explorer Amerigo Vespucci was the first European to visit the bay during his second expedition to the Americas. He entered the bay on All Saints' Day (November 1) 1501. He named the Bay of the Holy Savior of All the Saints after the date and his parish church in Florence San Salvatore di Ognissanti. Initially the bay its principal settlement and the captaincy around it all shared the same name but they were eventually distinguished the state becoming simply Bahia the bay becoming the Bay of All Saints and the city becoming first Bahia and now (usually) Salvador.,In which expedition did Amerigo Vespucci visited the Bay of All Saints?,his seccond,"O Italian Explorer Amerigo Vespucci foi o primeiro europeu a visitar a baía durante sua segunda expedição às Américas. Ele entrou na baía em todos os dias de Santos (1º de novembro) 1501. Ele nomeou a Baía do Santo Salvador de todos os santos após a data e sua igreja paroquial em Florença San Salvatore di Ognissanti. Inicialmente a baía seu assentamento principal e a capitania em torno de tudo compartilhava o mesmo nome, mas eles foram eventualmente distinguir o estado se tornando simplesmente Bahia a baía tornando-se a Baía de todos os santos e a cidade tornando-se primeiro Bahia e agora (geralmente) Salvador.",Em qual expedição amerigo vespucci visitou a baía de todos os santos?,seu SECCond
329,coastal_fisheries_of_brazil_7.txt,book,The institution with the highest authority for coastal zone management in Brazil is the National Programme for Coastal Management (GERCO) which is administered by the Ministry of the Environment. The conditions set forth in the programme have to be implemented by each coastal state and municipality. The programme defines the legal aspects for the management of the Brazilian coastal zone and establishes the basis for the development of regional and local policies programmes and management plans. Although fisheries are important coastal resources GERCO has no mandate over them.,What is the institution with the highest authority for coastal zone management in Brazil ?,National Programme for Coastal Management,"A instituição com a maior autoridade para a gestão da zona costeira no Brasil é o Programa Nacional de Gestão Costeira (GERCO) que é administrada pelo Ministério do Meio Ambiente. As condições estabelecidas no programa devem ser implementadas por cada estado costeiro e município. O programa define os aspectos legais para a gestão da zona costeira brasileira e estabelece a base para o desenvolvimento de programas de políticas regionais e locais e planos de manejo. Embora as pescas sejam importantes recursos costeiros, GerCO não tem mandato sobre eles.",Qual é a instituição com a maior autoridade para a gestão da zona costeira no Brasil?,Programa Nacional para Gestão Costeira
330,coastal_fisheries_of_brazil_7.txt,book,The institution with the highest authority for coastal zone management in Brazil is the National Programme for Coastal Management (GERCO) which is administered by the Ministry of the Environment. The conditions set forth in the programme have to be implemented by each coastal state and municipality. The programme defines the legal aspects for the management of the Brazilian coastal zone and establishes the basis for the development of regional and local policies programmes and management plans. Although fisheries are important coastal resources GERCO has no mandate over them.,Which Ministry of Brazil administer the National Programme for Coastal Management?,Ministry of the Environment,"A instituição com a maior autoridade para a gestão da zona costeira no Brasil é o Programa Nacional de Gestão Costeira (GERCO) que é administrada pelo Ministério do Meio Ambiente. As condições estabelecidas no programa devem ser implementadas por cada estado costeiro e município. O programa define os aspectos legais para a gestão da zona costeira brasileira e estabelece a base para o desenvolvimento de programas de políticas regionais e locais e planos de manejo. Embora as pescas sejam importantes recursos costeiros, GerCO não tem mandato sobre eles.",Qual Ministério do Brasil administra o Programa Nacional de Gestão Costeira?,Ministério do Meio Ambiente
331,Port_of_Santos.txt,wikipedia,The port of Santos was originally founded in 1892 on the banks of the Santos River. In 1913 there were about 9000 inhabitants in the city of Santos and the economically active population was at about 37000 with 22.7 percent working in the port as longshoremen stevedores carters porters and coffee sackers. During the time after World War II up to 1960 the port was known as the “Red Port” because of strong influence of Communism in the workers unions and city’s politics. Lack of investments and high tariffs were factors observed at the time and led the Port of Santos to a rapid decay around 1970. In 1980 the 90-year concession period ceded to Companhia Docas de Santos or CODESP. CODESP was a big player in the ports structure and worker culture. CODESP was in control of most of the port operations created a new culture of work that created stronger bonds between the workers and allowed for the creation of institutions to unite different categories of workers. Ever since the late 19th century the CODESP has tried to gain even more control over port operations. This however violated the workers’ sense of freedom and independence and caused the uprising of many of the worker institutions through different strikes for worker rights. In 1993 the Brazilian government realized that the singular control over the port that CODESP had was inhibiting the ports ability to be competitive and be more efficient. They then passed a law that de-monopolized the port's operational services.,How many people livied at Santos in 1913?,about 9000,"O porto de Santos foi originalmente fundado em 1892 nas margens do rio Santos. Em 1913 havia cerca de 9000 habitantes na cidade de Santos e a população economicamente ativa foi de cerca de 37000 com 22,7% trabalhando no porto como longshoremen SteveDores Carters e saquinhos de café. Durante o tempo após a Segunda Guerra Mundial até 1960, o porto era conhecido como ""porto vermelho"" por causa da forte influência do comunismo nos sindicatos e da política da cidade. A falta de investimentos e altas tarifas foram fatores observados na época e lideraram o porto de Santos a uma rápida decadência por volta de 1970. Em 1980, o período de concessão de 90 anos cedeu à Companhia Docas de Santos ou Codesp. O Codesp era um grande jogador na estrutura das portas e na cultura de trabalhadores. O Codesp estava no controle da maioria das operações portuárias criou uma nova cultura de trabalho que criou ligações mais fortes entre os trabalhadores e permitiu que a criação de instituições unisse diferentes categorias de trabalhadores. Desde o final do século XIX, o Codesp tentou obter ainda mais controle sobre as operações portuárias. Isso, no entanto, violou o senso de liberdade e independência dos trabalhadores e causou a insurreição de muitas das instituições do trabalhador através de diferentes greves para os direitos trabalhadores. Em 1993, o governo brasileiro percebeu que o controle singular sobre o porto que o Codesp tinha estava inibindo a capacidade das portas de ser competitiva e ser mais eficiente. Eles então passaram uma lei que des-monopolizou os serviços operacionais do porto.",Quantas pessoas viviam em Santos em 1913?,cerca de 9000.
332,Ilha_dos_Frades.txt,wikipedia,Ilha dos Frades (English: Isle of the Friars) is an island in the Bay of All Saints. It is administered as part of the city of Salvador in the state of Bahia. The island is located in the center of the bay. It is 6 kilometres (3.7 mi) in length covers 1.335 hectares (3.30 acres) and shaped like a fifteen-pointed star. Ilha dos Frades has preserved vegetation of the Atlantic Forest (Mata Atlântica) including native Brazil wood. The island is protected as part of the Environmental Protection Area of the Bay of All Saints.Ilha dos Frades served as an important part of the slave trade in Bahia. Enslaved Africans were transported from the port at Salvador to the interior Recôncavo region of Bahia. the island became part of the illegal slave trade in Brazil in the 19th century; enslaved people were brought directly to the island and led to the interior of Bahia. The practice only ended with the abolition of slavery in Brazil in 1888.,What is the area of Ilha dos Frades?,1.335 hectares,"Ilha dos Frases (Inglês: Ilha dos Frades) é uma ilha na Baía de todos os santos. É administrado como parte da cidade de Salvador no estado da Bahia. A ilha está localizada no centro da baía. É de 6 quilômetros (3,7 mi) em comprimento cobre 1,335 hectares (3,30 acres) e moldado como uma estrela quinze pontiaguda. Ilha dos frades preservou a vegetação da Mata Atlântica (Mata Atlântica), incluindo madeira nativa do Brasil. A ilha é protegida como parte da área de proteção ambiental da Baía de todos os Saints.ilha dos frades serviu como uma parte importante do comércio de escravos da Bahia. Os africanos escravizados foram transportados do porto em Salvador para a região de Recôncavo interior da Bahia. A ilha tornou-se parte do tráfico de escravos ilegais no Brasil no século XIX; As pessoas escravizadas foram trazidas diretamente à ilha e levaram ao interior da Bahia. A prática acabou com a abolição da escravidão no Brasil em 1888.",Qual é a área de Ilha dos frades?,"1,335 hectares."
333,Coastline_of_Brazil.txt,wikipedia,The southernmost point of Brazil is located near the sea at the border with Uruguay within the municipality of Santa Vitória do Palmar. A few kilometers to the north lies the Praia do Cassino which is 245 km long (though other sources measure it as 212 km long). It is considered (especially by those within the country) to be the longest beach in the world although other beaches around the globe are also put forward as the record holders. Nevertheless it is indeed the longest in Brazil.,With each country does the southernmost point of Brazil shares a border?,Uruguay,"O ponto mais meridional do Brasil está localizado perto do mar na fronteira com o Uruguai dentro do município de Santa Vitória do Palmar. Alguns quilômetros para o norte reside a Praia do Cassino, que é de 245 km de comprimento (embora outras fontes medem como 212 km de comprimento). Considera-se (especialmente por aqueles dentro do país) ser a praia mais longa do mundo, embora outras praias em todo o mundo também sejam apresentadas como os detentores de registros. No entanto, é de fato o mais longo do Brasil.","Com cada país, o ponto mais meridional do Brasil compartilha uma fronteira?",Uruguai
334,Coastline_of_Brazil.txt,wikipedia,The southernmost point of Brazil is located near the sea at the border with Uruguay within the municipality of Santa Vitória do Palmar. A few kilometers to the north lies the Praia do Cassino which is 245 km long (though other sources measure it as 212 km long). It is considered (especially by those within the country) to be the longest beach in the world although other beaches around the globe are also put forward as the record holders. Nevertheless it is indeed the longest in Brazil.,What is the southernmost beach of Brazil?,Praia do Cassino,"O ponto mais meridional do Brasil está localizado perto do mar na fronteira com o Uruguai dentro do município de Santa Vitória do Palmar. Alguns quilômetros para o norte reside a Praia do Cassino, que é de 245 km de comprimento (embora outras fontes medem como 212 km de comprimento). Considera-se (especialmente por aqueles dentro do país) ser a praia mais longa do mundo, embora outras praias em todo o mundo também sejam apresentadas como os detentores de registros. No entanto, é de fato o mais longo do Brasil.",O que é a praia mais meridional do Brasil?,Praia do Cassino.
335,Coastline_of_Brazil.txt,wikipedia,The southernmost point of Brazil is located near the sea at the border with Uruguay within the municipality of Santa Vitória do Palmar. A few kilometers to the north lies the Praia do Cassino which is 245 km long (though other sources measure it as 212 km long). It is considered (especially by those within the country) to be the longest beach in the world although other beaches around the globe are also put forward as the record holders. Nevertheless it is indeed the longest in Brazil.,How long is Praia do Cassino?,245 km,"O ponto mais meridional do Brasil está localizado perto do mar na fronteira com o Uruguai dentro do município de Santa Vitória do Palmar. Alguns quilômetros para o norte reside a Praia do Cassino, que é de 245 km de comprimento (embora outras fontes medem como 212 km de comprimento). Considera-se (especialmente por aqueles dentro do país) ser a praia mais longa do mundo, embora outras praias em todo o mundo também sejam apresentadas como os detentores de registros. No entanto, é de fato o mais longo do Brasil.",Quanto tempo é a Praia do Cassino?,245 km.
336,Coastline_of_Brazil.txt,wikipedia,The southernmost point of Brazil is located near the sea at the border with Uruguay within the municipality of Santa Vitória do Palmar. A few kilometers to the north lies the Praia do Cassino which is 245 km long (though other sources measure it as 212 km long). It is considered (especially by those within the country) to be the longest beach in the world although other beaches around the globe are also put forward as the record holders. Nevertheless it is indeed the longest in Brazil.,Which is the longest beach of Brazil?,Praia do Cassino,"O ponto mais meridional do Brasil está localizado perto do mar na fronteira com o Uruguai dentro do município de Santa Vitória do Palmar. Alguns quilômetros para o norte reside a Praia do Cassino, que é de 245 km de comprimento (embora outras fontes medem como 212 km de comprimento). Considera-se (especialmente por aqueles dentro do país) ser a praia mais longa do mundo, embora outras praias em todo o mundo também sejam apresentadas como os detentores de registros. No entanto, é de fato o mais longo do Brasil.",Qual é a praia mais longa do Brasil?,Praia do Cassino.
337,coastal_fisheries_of_brazil_7.txt,book,Knowledge of the marine physical environment is extremely important for safe navigation for the use of appropriate gear and for the identification of certain fish species. This traditional knowledge is not evenly distributed among artisanal fishers but tends to be concentrated in the hands of boat captains and skippers and it is transmitted through different ways (Marques 2001).,Why Knowledge of the marine physical environment is important?,safe navigation,"O conhecimento do ambiente físico marinho é extremamente importante para a navegação segura para o uso de equipamentos apropriados e para a identificação de certas espécies de peixes. Este conhecimento tradicional não é distribuído uniformemente entre os pescadores artesanais, mas tende a se concentrar nas mãos de capitães de barco e pneumáticos e é transmitido através de diferentes maneiras (Marques 2001).",Por que o conhecimento do ambiente físico marinho é importante?,Navegação segura
338,Port_of_Santos.txt,wikipedia,"It was once considered the ""port of death"" in the 19th century due to yellow fever and ships often avoided docking at the wood plank port. The floods in the city's area provoked illnesses.Today it is Latin America's largest port. Its structure is considered Brazil's most modern.",which Port of Brazil has the most modern structure?,Port of Santos,"Uma vez foi considerado o ""porto de morte"" no século XIX, devido à febre amarela e navios frequentemente evitados no porto da prancha de madeira. As inundações na área da cidade provocavam doenças.Today é o maior porto da América Latina. Sua estrutura é considerada mais moderna do Brasil.",Qual porto do Brasil tem a estrutura mais moderna?,Porto de Santos.
339,coastal_fisheries_of_brazil_6.txt,book,In 2003 the fisheries agency was created at ministerial level: the National Secretariat for Aquaculture and Fisheries (SEAP). SEAP has a broader authority than the previous agencies. Its priority is the development of the aquaculture sector particularly of shrimp cultivation for export freshwater aquaculture and industrial fisheries. In spite of official speeches the artisanal sector is not a top priority for this new agency.,What is SEAP?,National Secretariat for Aquaculture and Fisheries,"Em 2003, a Agência das Pescas foi criada a nível ministerial: a Secretaria Nacional de Aquicultura e Pesca (SEAP). O SeaP tem uma autoridade mais ampla do que as agências anteriores. Sua prioridade é o desenvolvimento do setor de aquicultura particularmente do cultivo de camarão para a aquicultura de água doce de exportação e pesca industrial. Apesar dos discursos oficiais, o setor artesanal não é uma prioridade máxima para esta nova agência.",O que é o mar?,Secretaria Nacional de Aquicultura e Pescas
340,Ilhabela.txt,wikipedia,Ilhabela is part of the Metropolitan Region of Vale do Paraíba e Litoral Norte. The population is 35591 (2020 est.). The islands in total cover 347.52 km2 (134.18 sq mi). During the holiday months up to one hundred thousand people may be on the island since it is a popular destination for tourists. To access the city one must take a boat or ferry in São Sebastião as there are no roads which reach it. During the summer one may wait several hours to take the ferry boat. The ferry takes 15 minutes to cross the channel between the two cities.,what is the population of Ilhabela?,35591,"Ilhabela faz parte da região metropolitana de Vale do Parába e Litoral Norte. A população é 35591 (2020 est.). As ilhas na cobertura total 347,52 km2 (134,18 mi). Durante os meses de férias até cem mil pessoas podem estar na ilha, já que é um destino popular para os turistas. Para acessar a cidade é preciso pegar um barco ou balsa em São Sebastião, pois não há estradas que alcançam. Durante o verão, pode-se esperar várias horas para levar o ferryboat. A balsa leva 15 minutos para atravessar o canal entre as duas cidades.",Qual é a população de Ilhabela?,35591.
